Metrics,Model_Logreg,Model_DT,Model_RF,Model_LinearSVM,Model_RBF_SVM
Accuracy_Train,0.4817507841459937,0.9998574280011405,0.9998574280011405,0.44974337040205303,0.48196464214428286
Precision_Train,0.4817507841459937,0.9998574280011405,0.9998574280011405,0.44974337040205303,0.48196464214428286
Recall_Train,0.4817507841459937,0.9998574280011405,0.9998574280011405,0.44974337040205303,0.48196464214428286
Accuracy_Test,0.4746632456703015,0.6536241180243746,0.7376523412443874,0.45285439384220655,0.4768013683985461
Precision_Test,0.4746632456703015,0.6536241180243746,0.7376523412443874,0.45285439384220655,0.4768013683985461
Recall_Test,0.4746632456703015,0.6536241180243746,0.7376523412443874,0.45285439384220655,0.4768013683985461
