Metrics,Model_Logreg,Model_DT,Model_RF,Model_LinearSVM,Model_RBF_SVM
Accuracy_Train,0.600568874441284,1.0,1.0,0.5875660300690776,0.6271163483678721
Precision_Train,0.600568874441284,1.0,1.0,0.5875660300690776,0.6271163483678721
Recall_Train,0.600568874441284,1.0,1.0,0.5875660300690776,0.6271163483678721
Accuracy_Test,0.6062576188541243,0.7586347013409184,0.8305566842746851,0.584315318976026,0.6330759853718001
Precision_Test,0.6062576188541243,0.7586347013409184,0.8305566842746851,0.584315318976026,0.6330759853718001
Recall_Test,0.6062576188541243,0.7586347013409184,0.8305566842746851,0.584315318976026,0.6330759853718001
