Metrics,Model_Logreg,Model_DT,Model_RF,Model_LinearSVM,Model_RBF_SVM
Accuracy_Train,0.6830018939393939,0.9955018939393939,0.9955018939393939,0.6654829545454546,0.6924715909090909
Precision_Train,0.6830018939393939,0.9955018939393939,0.9955018939393939,0.6654829545454546,0.6924715909090909
Recall_Train,0.6830018939393939,0.9955018939393939,0.9955018939393939,0.6654829545454546,0.6924715909090909
Accuracy_Test,0.7052556818181818,0.8267045454545454,0.8771306818181818,0.6775568181818182,0.7201704545454546
Precision_Test,0.7052556818181818,0.8267045454545454,0.8771306818181818,0.6775568181818182,0.7201704545454546
Recall_Test,0.7052556818181818,0.8267045454545454,0.8771306818181818,0.6775568181818182,0.7201704545454546
