Metrics,Model_Logreg,Model_DT,Model_RF,Model_LinearSVM,Model_RBF_SVM
Accuracy_Train,0.5285014186226463,0.9996131029146247,0.9996131029146247,0.5118648439515089,0.49290688676811967
Precision_Train,0.5285014186226463,0.9996131029146247,0.9996131029146247,0.5118648439515089,0.49290688676811967
Recall_Train,0.5285014186226463,0.9996131029146247,0.9996131029146247,0.5118648439515089,0.49290688676811967
Accuracy_Test,0.5094777562862669,0.7261121856866538,0.7961315280464216,0.4882011605415861,0.4762088974854932
Precision_Test,0.5094777562862669,0.7261121856866538,0.7961315280464216,0.4882011605415861,0.4762088974854932
Recall_Test,0.5094777562862669,0.7261121856866538,0.7961315280464216,0.4882011605415861,0.4762088974854932
