,Features,Model_DT,Model_RF
0,Neutrality,0.16538586897252344,0.16545477584782403
1,Happy,0.15598144003110173,0.1689121847626363
2,Surprise,0.12554420379520156,0.12927718432261126
3,Fear,0.09434911924041674,0.11210299279281029
4,Disgust,0.09621864402541967,0.08578081847498216
5,Anger,0.1348554200545095,0.13181937757774884
6,Sadness,0.22766530388082734,0.20665266622138706
