,Features,Model_DT,Model_RF
0,Neutrality,0.15190831028788968,0.18374619770895254
1,Happy,0.19593964826772223,0.18738193974142794
2,Surprise,0.14123935125704976,0.12662702078523908
3,Fear,0.09954636960538685,0.08333483231709618
4,Disgust,0.10950277777628561,0.1137857535594565
5,Anger,0.139870369228691,0.1369101680728076
6,Sadness,0.16199317357697493,0.1682140878150202
