,Features,Model_DT,Model_RF
0,Neutrality,0.18077304018001109,0.2096478417225244
1,Happy,0.235191869094382,0.21309858598986053
2,Surprise,0.13550841171675315,0.1294997548746149
3,Fear,0.04511457897831783,0.04637254658136409
4,Disgust,0.11660352176143371,0.1161918807526591
5,Anger,0.09558405297330616,0.10284888111470435
6,Sadness,0.19122452529579606,0.18234050896427273
