Metrics,Model_Logreg,Model_DT,Model_RF,Model_LinearSVM,Model_RBF_SVM
Accuracy_Train,0.4774085794655415,0.9616736990154712,0.9616736990154712,0.472485935302391,0.49050632911392406
Precision_Train,0.4774085794655415,0.9616736990154712,0.9616736990154712,0.472485935302391,0.49050632911392406
Recall_Train,0.4774085794655415,0.9616736990154712,0.9616736990154712,0.472485935302391,0.49050632911392406
Accuracy_Test,0.47732067510548526,0.5733122362869199,0.6735232067510548,0.46835443037974683,0.4878691983122363
Precision_Test,0.47732067510548526,0.5733122362869199,0.6735232067510548,0.46835443037974683,0.4878691983122363
Recall_Test,0.47732067510548526,0.5733122362869199,0.6735232067510548,0.46835443037974683,0.4878691983122363
