Metrics,Model_Logreg,Model_DT,Model_RF,Model_LinearSVM,Model_RBF_SVM
Accuracy_Train,0.48251073901990005,0.9904444639256597,0.9904444639256597,0.476374156219865,0.4820724116770404
Precision_Train,0.48251073901990005,0.9904444639256597,0.9904444639256597,0.476374156219865,0.4820724116770404
Recall_Train,0.48251073901990005,0.9904444639256597,0.9904444639256597,0.476374156219865,0.4820724116770404
Accuracy_Test,0.47620299763344726,0.6310807257428346,0.7507231133315804,0.4709439915855903,0.4751511964238759
Precision_Test,0.47620299763344726,0.6310807257428346,0.7507231133315804,0.4709439915855903,0.4751511964238759
Recall_Test,0.47620299763344726,0.6310807257428346,0.7507231133315804,0.4709439915855903,0.4751511964238759
