,Features,Model_DT,Model_RF
0,Neutrality,0.08976018571774842,0.14364731352205548
1,Happy,0.2748451405942215,0.20791850691923874
2,Surprise,0.12078641622946397,0.14736650356191197
3,Fear,0.0662305957801796,0.06885236409852008
4,Disgust,0.162710769831307,0.11518844367330094
5,Anger,0.16311239153532492,0.1317501597348402
6,Sadness,0.12255450031175463,0.1852767084901326
